,Sale ID,Index,ITEM_CODE,EMP_ID,Attribute,Year,Value,Period,Category
0,1,2,PROD_001,EMP244,W00,2019,35,W00 2019,Product
1,2,4,PROD_002,EMP244,W00,2019,41,W00 2019,Product
2,3,6,PROD_003,EMP267,W00,2019,21,W00 2019,Product
3,4,8,PROD_001,EMP267,W00,2019,32,W00 2019,Product
4,5,10,PROD_004,EMP267,W00,2019,37,W00 2019,Product
5,6,12,PROD_002,EMP267,W00,2019,31,W00 2019,Product
6,7,14,PROD_005,EMP267,W00,2019,32,W00 2019,Product
7,8,16,PROD_003,EMP244,W00,2019,27,W00 2019,Product
8,9,18,PROD_006,EMP267,W00,2019,32,W00 2019,Product
9,10,20,PROD_004,EMP244,W00,2019,43,W00 2019,Product
10,11,22,PROD_001,EMP234,W00,2019,34,W00 2019,Product
11,12,24,PROD_007,EMP267,W00,2019,26,W00 2019,Product
12,13,26,PROD_005,EMP244,W00,2019,40,W00 2019,Product
13,14,28,PROD_002,EMP234,W00,2019,27,W00 2019,Product
14,15,30,PROD_008,EMP267,W00,2019,25,W00 2019,Product
15,16,32,PROD_006,EMP244,W00,2019,36,W00 2019,Product
16,17,34,PROD_003,EMP234,W00,2019,34,W00 2019,Product
17,18,36,PROD_007,EMP244,W00,2019,35,W00 2019,Product
18,19,38,PROD_004,EMP234,W00,2019,35,W00 2019,Product
19,20,40,PROD_001,EMP256,W00,2019,31,W00 2019,Product
20,21,42,PROD_008,EMP244,W00,2019,17,W00 2019,Product
21,22,44,PROD_005,EMP234,W00,2019,26,W00 2019,Product
22,23,46,PROD_002,EMP256,W00,2019,23,W00 2019,Product
23,24,48,PROD_006,EMP234,W00,2019,16,W00 2019,Product
24,25,50,PROD_003,EMP256,W00,2019,19,W00 2019,Product
25,26,52,PROD_007,EMP234,W00,2019,14,W00 2019,Product
26,27,54,PROD_004,EMP256,W00,2019,12,W00 2019,Product
27,28,56,PROD_001,EMP290,W00,2019,20,W00 2019,Product
28,29,58,PROD_008,EMP234,W00,2019,10,W00 2019,Product
29,30,60,PROD_005,EMP256,W00,2019,15,W00 2019,Product
30,31,62,PROD_002,EMP290,W00,2019,7,W00 2019,Product
31,32,64,PROD_006,EMP256,W00,2019,10,W00 2019,Product
32,33,66,PROD_003,EMP290,W00,2019,23,W00 2019,Product
33,34,68,PROD_007,EMP256,W00,2019,15,W00 2019,Product
34,35,70,PROD_004,EMP290,W00,2019,15,W00 2019,Product
35,36,72,PROD_008,EMP256,W00,2019,13,W00 2019,Product
36,37,74,PROD_005,EMP290,W00,2019,10,W00 2019,Product
37,38,76,PROD_006,EMP290,W00,2019,8,W00 2019,Product
38,39,78,PROD_007,EMP290,W00,2019,10,W00 2019,Product
39,40,80,PROD_008,EMP290,W00,2019,7,W00 2019,Product
40,41,81,ESP_001,EMP234,W00,2019,4,W00 2019,Warranty
41,42,83,ESP_001,EMP244,W00,2019,9,W00 2019,Warranty
42,43,85,ESP_001,EMP256,W00,2019,3,W00 2019,Warranty
43,44,87,ESP_001,EMP267,W00,2019,6,W00 2019,Warranty
44,45,89,ESP_001,EMP290,W00,2019,2,W00 2019,Warranty
45,46,91,ESP_002,EMP234,W00,2019,2,W00 2019,Warranty
46,47,93,ESP_002,EMP244,W00,2019,6,W00 2019,Warranty
47,48,95,ESP_002,EMP256,W00,2019,2,W00 2019,Warranty
48,49,97,ESP_002,EMP267,W00,2019,2,W00 2019,Warranty
49,50,99,ESP_002,EMP290,W00,2019,0,W00 2019,Warranty
50,51,101,ESP_003,EMP234,W00,2019,4,W00 2019,Warranty
51,52,103,ESP_003,EMP244,W00,2019,3,W00 2019,Warranty
52,53,105,ESP_003,EMP256,W00,2019,2,W00 2019,Warranty
53,54,107,ESP_003,EMP267,W00,2019,4,W00 2019,Warranty
