,Region,ITEM_CODE,Period,Value,Category
0,NW,PROD_001,2019 W00,35,Product
1,NW,PROD_002,2019 W00,41,Product
2,NW,PROD_003,2019 W00,27,Product
3,NW,PROD_004,2019 W00,43,Product
4,NW,PROD_005,2019 W00,40,Product
5,NW,PROD_006,2019 W00,36,Product
6,NW,PROD_007,2019 W00,35,Product
7,NW,PROD_008,2019 W00,17,Product
8,NW,ESP_001,2019 W00,9,Product
9,NW,ESP_002,2019 W00,6,Product
10,NW,ESP_003,2019 W00,3,Product
11,NW,ESP_004,2019 W00,6,Product
12,NW,ESP_005,2019 W00,9,Product
13,NW,ESP_006,2019 W00,12,Product
14,NW,ESP_007,2019 W00,6,Product
15,NW,ESP_008,2019 W00,2,Product
16,NW,PROD_001,2019 W01,34,Product
17,NW,PROD_002,2019 W01,27,Product
18,NW,PROD_003,2019 W01,46,Product
19,NW,PROD_004,2019 W01,34,Product
20,NW,PROD_005,2019 W01,38,Product
21,NW,PROD_006,2019 W01,44,Product
22,NW,PROD_007,2019 W01,29,Product
23,NW,PROD_008,2019 W01,16,Product
24,NW,ESP_001,2019 W01,8,Product
25,NW,ESP_002,2019 W01,4,Product
26,NW,ESP_003,2019 W01,7,Product
27,NW,ESP_004,2019 W01,6,Product
28,NW,ESP_005,2019 W01,8,Product
29,NW,ESP_006,2019 W01,15,Product
30,NW,ESP_007,2019 W01,5,Product
31,NW,ESP_008,2019 W01,2,Product
32,NW,PROD_001,2019 W10,33,Product
33,NW,PROD_002,2019 W10,47,Product
34,NW,PROD_003,2019 W10,37,Product
35,NW,PROD_004,2019 W10,37,Product
36,NW,PROD_005,2019 W10,23,Product
37,NW,PROD_006,2019 W10,33,Product
38,NW,PROD_007,2019 W10,40,Product
39,NW,PROD_008,2019 W10,24,Product
40,NW,ESP_001,2019 W10,7,Warranty
41,NW,ESP_002,2019 W10,5,Warranty
42,NW,ESP_003,2019 W10,4,Warranty
43,NW,ESP_004,2019 W10,4,Warranty
44,NW,ESP_005,2019 W10,5,Warranty
45,NW,ESP_006,2019 W10,10,Warranty
46,NW,ESP_007,2019 W10,5,Warranty
47,NW,ESP_008,2019 W10,3,Warranty
48,NW,PROD_001,2019 W11,41,Warranty
49,NW,PROD_002,2019 W11,31,Warranty
50,NW,PROD_003,2019 W11,32,Warranty
51,NW,PROD_004,2019 W11,27,Warranty
52,NW,PROD_005,2019 W11,38,Warranty
53,NW,PROD_006,2019 W11,28,Warranty
54,NW,PROD_007,2019 W11,38,Warranty
55,NW,PROD_008,2019 W11,24,Warranty
56,NW,ESP_001,2019 W11,8,Warranty
57,NW,ESP_002,2019 W11,3,Warranty
58,NW,ESP_003,2019 W11,3,Warranty
59,NW,ESP_004,2019 W11,3,Warranty
60,NW,ESP_005,2019 W11,7,Warranty
61,NW,ESP_006,2019 W11,8,Warranty
62,NW,ESP_007,2019 W11,4,Warranty
63,NW,ESP_008,2019 W11,3,Warranty
64,NW,PROD_001,2019 W12,47,Warranty
65,NW,PROD_002,2019 W12,48,Warranty
66,NW,PROD_003,2019 W12,38,Warranty
67,NW,PROD_004,2019 W12,38,Warranty
68,NW,PROD_005,2019 W12,38,Warranty
69,NW,PROD_006,2019 W12,43,Warranty
70,NW,PROD_007,2019 W12,34,Warranty
71,NW,PROD_008,2019 W12,34,Warranty
72,NW,ESP_001,2019 W12,8,Warranty
73,NW,ESP_002,2019 W12,3,Warranty
74,NW,ESP_003,2019 W12,3,Warranty
75,NW,ESP_004,2019 W12,3,Warranty
76,NW,ESP_005,2019 W12,6,Warranty
77,NW,ESP_006,2019 W12,12,Warranty
78,NW,ESP_007,2019 W12,2,Warranty
79,NW,ESP_008,2019 W12,3,Warranty
80,NW,PROD_001,2019 W13,40,Product
81,NW,PROD_002,2019 W13,43,Product
82,NW,PROD_003,2019 W13,39,Product
83,NW,PROD_004,2019 W13,34,Product
84,NW,PROD_005,2019 W13,41,Product
85,NW,PROD_006,2019 W13,38,Product
86,NW,PROD_007,2019 W13,34,Product
87,NW,PROD_008,2019 W13,29,Product
88,NW,ESP_001,2019 W13,7,Product
89,NW,ESP_002,2019 W13,3,Product
90,NW,ESP_003,2019 W13,3,Product
91,NW,ESP_004,2019 W13,3,Product
92,NW,ESP_005,2019 W13,7,Product
93,NW,ESP_006,2019 W13,10,Product
94,NW,ESP_007,2019 W13,3,Product
95,NW,ESP_008,2019 W13,3,Product
96,NW,PROD_001,2019 W14,47,Product
97,NW,PROD_002,2019 W14,37,Product
98,NW,PROD_003,2019 W14,28,Product
99,NW,PROD_004,2019 W14,32,Product
100,NW,PROD_005,2019 W14,43,Product
101,NW,PROD_006,2019 W14,19,Product
102,NW,PROD_007,2019 W14,36,Product
103,NW,PROD_008,2019 W14,24,Product
104,NW,ESP_001,2019 W14,8,Product
105,NW,ESP_002,2019 W14,2,Product
106,NW,ESP_003,2019 W14,3,Product
107,NW,ESP_004,2019 W14,3,Product
108,NW,ESP_005,2019 W14,8,Product
109,NW,ESP_006,2019 W14,5,Product
110,NW,ESP_007,2019 W14,3,Product
111,NW,ESP_008,2019 W14,2,Product
112,NW,PROD_001,2019 W15,53,Product
113,NW,PROD_002,2019 W15,45,Product
114,NW,PROD_003,2019 W15,43,Product
115,NW,PROD_004,2019 W15,30,Product
116,NW,PROD_005,2019 W15,27,Product
117,NW,PROD_006,2019 W15,40,Product
118,NW,PROD_007,2019 W15,38,Product
119,NW,PROD_008,2019 W15,29,Product
120,NW,ESP_001,2019 W15,9,Warranty
121,NW,ESP_002,2019 W15,3,Warranty
122,NW,ESP_003,2019 W15,4,Warranty
123,NW,ESP_004,2019 W15,3,Warranty
124,NW,ESP_005,2019 W15,5,Warranty
125,NW,ESP_006,2019 W15,11,Warranty
126,NW,ESP_007,2019 W15,4,Warranty
127,NW,ESP_008,2019 W15,3,Warranty
128,NW,PROD_001,2019 W16,44,Warranty
129,NW,PROD_002,2019 W16,47,Warranty
130,NW,PROD_003,2019 W16,50,Warranty
131,NW,PROD_004,2019 W16,47,Warranty
132,NW,PROD_005,2019 W16,38,Warranty
133,NW,PROD_006,2019 W16,41,Warranty
134,NW,PROD_007,2019 W16,31,Warranty
135,NW,PROD_008,2019 W16,24,Warranty
136,NW,ESP_001,2019 W16,7,Warranty
137,NW,ESP_002,2019 W16,3,Warranty
138,NW,ESP_003,2019 W16,5,Warranty
139,NW,ESP_004,2019 W16,4,Warranty
140,NW,ESP_005,2019 W16,8,Warranty
141,NW,ESP_006,2019 W16,11,Warranty
142,NW,ESP_007,2019 W16,3,Warranty
143,NW,ESP_008,2019 W16,2,Warranty
144,NW,PROD_001,2019 W17,39,Warranty
145,NW,PROD_002,2019 W17,39,Warranty
146,NW,PROD_003,2019 W17,39,Warranty
147,NW,PROD_004,2019 W17,33,Warranty
148,NW,PROD_005,2019 W17,31,Warranty
149,NW,PROD_006,2019 W17,32,Warranty
150,NW,PROD_007,2019 W17,35,Warranty
151,NW,PROD_008,2019 W17,29,Warranty
152,NW,ESP_001,2019 W17,7,Warranty
153,NW,ESP_002,2019 W17,3,Warranty
154,NW,ESP_003,2019 W17,4,Warranty
155,NW,ESP_004,2019 W17,3,Warranty
156,NW,ESP_005,2019 W17,7,Warranty
157,NW,ESP_006,2019 W17,9,Warranty
158,NW,ESP_007,2019 W17,4,Warranty
159,NW,ESP_008,2019 W17,3,Warranty
160,NW,PROD_001,2019 W18,42,Product
161,NW,PROD_002,2019 W18,50,Product
162,NW,PROD_003,2019 W18,44,Product
163,NW,PROD_004,2019 W18,30,Product
164,NW,PROD_005,2019 W18,43,Product
165,NW,PROD_006,2019 W18,41,Product
166,NW,PROD_007,2019 W18,44,Product
167,NW,PROD_008,2019 W18,22,Product
168,NW,ESP_001,2019 W18,8,Product
169,NW,ESP_002,2019 W18,4,Product
170,NW,ESP_003,2019 W18,5,Product
171,NW,ESP_004,2019 W18,3,Product
172,NW,ESP_005,2019 W18,9,Product
173,NW,ESP_006,2019 W18,12,Product
174,NW,ESP_007,2019 W18,5,Product
175,NW,ESP_008,2019 W18,2,Product
176,NW,PROD_001,2019 W19,41,Product
177,NW,PROD_002,2019 W19,38,Product
178,NW,PROD_003,2019 W19,33,Product
179,NW,PROD_004,2019 W19,26,Product
180,NW,PROD_005,2019 W19,32,Product
181,NW,PROD_006,2019 W19,36,Product
182,NW,PROD_007,2019 W19,38,Product
183,NW,PROD_008,2019 W19,22,Product
184,NW,ESP_001,2019 W19,9,Product
185,NW,ESP_002,2019 W19,3,Product
186,NW,ESP_003,2019 W19,4,Product
187,NW,ESP_004,2019 W19,3,Product
188,NW,ESP_005,2019 W19,7,Product
189,NW,ESP_006,2019 W19,11,Product
190,NW,ESP_007,2019 W19,4,Product
191,NW,ESP_008,2019 W19,3,Product
192,NW,PROD_001,2019 W02,40,Product
193,NW,PROD_002,2019 W02,27,Product
194,NW,PROD_003,2019 W02,31,Product
195,NW,PROD_004,2019 W02,39,Product
196,NW,PROD_005,2019 W02,39,Product
197,NW,PROD_006,2019 W02,22,Product
198,NW,PROD_007,2019 W02,40,Product
199,NW,PROD_008,2019 W02,19,Product
200,NW,ESP_001,2019 W02,10,Warranty
201,NW,ESP_002,2019 W02,5,Warranty
202,NW,ESP_003,2019 W02,5,Warranty
203,NW,ESP_004,2019 W02,7,Warranty
204,NW,ESP_005,2019 W02,9,Warranty
205,NW,ESP_006,2019 W02,8,Warranty
206,NW,ESP_007,2019 W02,7,Warranty
207,NW,ESP_008,2019 W02,3,Warranty
208,NW,PROD_001,2019 W20,44,Warranty
209,NW,PROD_002,2019 W20,38,Warranty
210,NW,PROD_003,2019 W20,35,Warranty
211,NW,PROD_004,2019 W20,31,Warranty
212,NW,PROD_005,2019 W20,35,Warranty
213,NW,PROD_006,2019 W20,51,Warranty
214,NW,PROD_007,2019 W20,36,Warranty
215,NW,PROD_008,2019 W20,37,Warranty
216,NW,ESP_001,2019 W20,10,Warranty
217,NW,ESP_002,2019 W20,4,Warranty
218,NW,ESP_003,2019 W20,5,Warranty
219,NW,ESP_004,2019 W20,4,Warranty
220,NW,ESP_005,2019 W20,8,Warranty
221,NW,ESP_006,2019 W20,16,Warranty
222,NW,ESP_007,2019 W20,4,Warranty
223,NW,ESP_008,2019 W20,5,Warranty
224,NW,PROD_001,2019 W21,51,Warranty
225,NW,PROD_002,2019 W21,44,Warranty
226,NW,PROD_003,2019 W21,33,Warranty
